"MEAN OF STE","MEAN OF ZC","VARIANCE OF STE","VARIANCE OF ZC","Q(STE) AT 25%","Q(STE) AT 50%","Q(STE) AT 75%","Q(STE) AT 100%","Q(ZC) AT 25%","Q(ZC) AT 50%","Q(ZC) AT 75%","Q(ZC) AT 100%","LABEL"
"44.698160737442","110.8064516129","1153.5992682385","3434.0946236559","2.78528405541","37.681113665395","56.065411872628","78.692369588826","72.5","82.9","106.1","151.1","0"
"64.449386034463","113.89743589744","4188.8722812306","3248.0944669366","3.1329453055009","32.021504431891","64.384215584823","114.98095892958","76.2","90.7","113.3","143.5","0"
"59.225942222319","102.1282051282","3240.3704332872","1813.0620782726","0.81160810060186","18.012060506657","76.10258931164","118.32114807114","69.6","85.1","97","129","0"
"49.476191624453","123.30769230769","2933.9343908707","5650.8502024292","0.5823035908277","21.158179120292","43.570365976888","103.3625675267","76.6","93.2","111.8","143.2","0"
"49.987821527466","120","3118.9241606975","5827.3684210526","0.45717880960475","20.263508571537","47.649690558868","96.805879483085","73","87.6","103.8","142.2","0"
"56.583837146377","106.28205128205","3882.3503252407","2691.2604588394","0.54519069048641","24.489765815366","50.265765717896","117.71374468471","73","88.1","100","124.8","0"
"52.564396897491","111.61538461538","2738.0734501031","4113.4534412955","0.587045345149","18.968190288535","64.67531954696","96.668941110725","70.9","82","100","143.1","0"
"52.564396897491","111.61538461538","2738.0734501031","4113.4534412955","0.587045345149","18.968190288535","64.67531954696","96.668941110725","70.9","82","100","143.1","0"
"75.858711735361","117.41025641026","5768.8961130546","4294.8272604588","1.010713774183","32.286863518345","79.265718363334","155.0063779402","73.3","86.1","111.4","144.2","0"
"74.616925596321","108.1282051282","4660.940873081","2807.5883940621","0.97634326655657","33.08658637162","105.4273811075","132.66016990347","70.2","91","102.9","138.3","0"
"48.165810735841","136.8717948718","3867.0721662592","2731.5357624831","0.32760485474979","3.2091554227902","35.889955818418","96.000817033708","94.9","118.1","144.7","171.4","0"
"59.301509346238","138.84615384615","6994.5053999306","3407.2914979757","0.32760485474979","1.99654599878","41.38951363094","109.29295625491","87.2","117.1","146.9","181","0"
"29.526132863611","141.02564102564","1264.4070576182","4629.9203778678","0.73138742421872","4.9408150232879","32.013678520539","56.204222272398","91.9","107.6","122.6","203.7","0"
"54.538903343719","122.17948717949","11500.47253833","3589.2564102564","0.30013673383672","1.6435298486717","12.19288128135","51.402710404906","73.3","108.1","118","152.5","0"
"23.396714963444","128.41025641026","1242.7882093933","3073.6167341431","0.30013673383672","1.6435298486717","16.104850560949","43.14230874263","89","109","123.8","162.1","0"
"48.073073131883","129.64102564103","6732.4273355608","3652.657219973","0.20474887707338","1.6435298486717","24.464128092488","66.269669784028","75.8","115.2","132.7","157","0"
"43.656744936668","131.46153846154","4666.3430647104","4133.3603238866","0.37029641247044","1.6435298486717","19.260319436221","86.766942095702","76.1","108.3","126.4","159.1","0"
"34.688657921216","140.69230769231","2062.2326312563","4784.5870445344","0.21596163335682","1.6435298486717","32.062551978807","65.678676325732","96.6","111.3","132.9","167.7","0"
"31.606274026472","136.53846153846","1911.5697117516","3138.2550607287","0.29563575610894","1.5952769619112","13.628078958738","64.846461015159","90.3","116.1","145.8","166.2","0"
"28.786132204936","142.92307692308","1461.415814408","3163.7044534413","0.31754696215423","1.6435298486717","20.692781549356","65.521747886549","102.9","118.1","156.8","174.7","0"
"45.239408491986","113.58974358974","3682.1932779402","5952.1430499325","0.76256470168757","7.7285022621582","28.270439098907","73.448392090766","60","74.5","102","127.8","0"
"36.712131676522","108.48717948718","2602.8576614499","4784.0458839406","0.94442479114375","6.4584454834165","25.521285172995","73.486386522214","62","73.1","101.6","118.7","0"
"64.80511463553","109.71794871795","7896.111592749","5645.2078272605","0.93742537277099","6.1676634734409","38.881843079241","115.97840791628","56.5","74.6","93.9","118.7","0"
"30.95467459606","108.28205128205","1576.2894141663","4729.681511471","0.97634326655657","3.941243189835","27.497773688887","66.978008598581","62","74.3","97.3","124.6","0"
"57.03519614107","110.64102564103","4426.0729707461","4812.709851552","0.76256470168757","10.315411917576","57.77456815832","118.80713061284","59.3","76.4","101","132","0"
"44.493121229237","112.15384615385","3225.4465334044","5197.6599190283","0.6847121440878","5.79297555147","31.620415677362","104.2707771757","61.3","76.5","105.6","118.7","0"
"31.755802241953","109.66666666667","2042.9872218688","3954.9122807018","0.76256470168757","2.9941610806925","26.215702870753","54.681784410753","63.5","81.5","105.6","132.4","0"
"30.615898873598","109","1564.9476280589","3699.3684210526","0.67939139128082","3.2359948581062","27.045014915142","54.482366291574","60.6","86","105.8","131","0"
"38.245765456229","107.66666666667","2521.5846218582","4533.2807017544","0.68416491129035","6.110578117502","25.056865634013","70.449529684339","60.3","74.5","95.7","119.7","0"
"51.102128499037","109.23076923077","7045.3673250534","4424.5506072874","0.76256470168757","5.4222833661679","17.913294117607","97.578986495424","62","74.6","105.6","128.4","0"
"16.643412983931","111.41025641026","490.31276359737","2455.1430499325","0.35426859303434","1.9324532031353","12.477446760174","33.568432055487","61.3","94.3","117.9","146","0"
"36.59705429222","108.82051282051","2445.8432995226","3447.5721997301","0.63949249483755","3.0740822420278","35.213940260684","73.64994807994","61","85.3","113.2","124.1","0"
"20.799605610004","110.15384615385","756.41066755587","3739.7125506073","1.0972494231571","4.4113873213108","11.907351779361","54.205444715371","60.3","80","98.4","154.6","0"
"18.22122918371","113.4358974359","748.37753596035","3495.5681511471","0.88420747830635","5.2037135195241","8.6960846537588","34.41343154397","67","81.1","107.9","158.9","0"
"20.331663013779","108.07692307692","1002.4167969181","3549.3886639676","0.77615070844256","3.7766071595971","7.016032590501","33.086437835409","61.3","75.4","103.7","146.5","0"
"18.97413626982","117.53846153846","713.73806977624","6332.3603238866","0.91458315145038","3.6233662987998","10.758005554522","29.38388010254","63","75.4","98.7","151.4","0"
"9.6108342080446","119.4358974359","150.5807469917","5063.5681511471","0.55755307149065","3.4304279607199","6.7407801279341","17.534554121098","64","81.2","107.8","169.7","0"
"19.201372349965","126","998.57506726641","6897.4210526316","0.55755307149065","3.5922684539415","10.888929845515","32.086926746136","63.8","85.2","107.8","152.1","0"
"19.201372349965","126","998.57506726641","6897.4210526316","0.55755307149065","3.5922684539415","10.888929845515","32.086926746136","63.8","85.2","107.8","152.1","0"
"32.388073276626","112.94871794872","2446.209908031","4766.3657219973","0.61635706777346","3.7439928973716","20.961456106252","45.097455319543","62.3","77.2","103.7","140.7","0"
"21.928511059289","130.46153846154","716.74805678043","5727.0971659919","0.40996192758804","3.8030256657669","17.345259612681","49.893111259141","75.3","90.3","128.8","179","0"
"78.889905583423","88.548387096774","9553.4937852238","662.72258064516","5.5168612480904","8.0277192786576","57.82469845478","167.48018138907","62.2","81.5","97","108","1"
"90.775142059279","85.677419354839","9812.9211219324","521.75913978495","2.2114236110075","24.436661259158","101.79298257371","190.79877447442","64.7","71","99","103","1"
"68.008764291201","85.666666666667","5939.9609047146","531.10416666667","2.9748332414513","6.6135755941928","69.170863378964","139.37398086318","65.1","74","90.9","113","1"
"79.932310854782","88.575757575758","11025.099328108","540.68939393939","2.1285139752993","4.1166184989069","64.203430561873","162.64643532971","66.1","77.1","103.5","112","1"
"82.183456806886","86.333333333333","8283.3540706732","1023.5416666667","2.3310662241561","13.988114448983","91.794122406892","188.27660228424","56.1","67.8","93.2","116.7","1"
"61.726954710194","86.060606060606","4683.4404540304","1097.0587121212","1.4946988813491","4.8182987019759","59.911940103262","147.2995476776","55","67.8","94.2","108","1"
